feature,label
(()()()((()(()))(()()(()))())(),)
(()(()()()()(()(),)))
(()()()(())()()()(()(()))(()(()),))
((()()())((())(()))(),)
(()()(()())((()()),))
(()(())(()()()()()(),))
(()()(())()()(()()()((,))))
(()()(())()()()()(())(),)
((()())()()(())(()((),)))
((()())()()()()()()()()((,)))
(()(())((())()())()()()(()())()(,))
(()()()()(()()(()()))()()()()(),)
(()(())(())(()(())(((())()(),))))
(()()(())()(),)
(()()(())((()()()()))()()()(),)
((((()()))()(())(()))()()()(),)
((()()()()()(()()()(())()()),))
(()()(())()()(),)
((()()(())())()(,))
(()()()()(())()()((()))(()(,)))
,
((()(())()(())())()()((,)))
(()((()()())(,)))
(()()(())()(()()()(()))()((())()()),)
((((,))))
(()(()(,)))
((()()())()()()(())()()((())())(,))
(((())(())()()())()(),)
(()()(())()()()()((),))
((((())(())))(),)
(()()()()()(()(()())(()))(),)
((),)
(()(()()((()()())))()(),)
(()(()(()()())(())(,)))
((()()())()()((((()),))))
(()(()(())((())()),))
((())(()()(())()),)
(((()(())()(()(()()()))))()()()()()(),)
(()(())((()()()))((),))
(()()()(()((()))()(()()())()),)
((())()(()()()()())()(()()(()),))
,
(()()()()()(()()()()()(),))
(()()(()()()())((()()(),)))
,
(()()(())()()(())(,))
(()(())()()()()(()),)
(()(())((())(())()()(),))
(()(((())))(((())(,))))
((())(()(()()),))
(((())()(,)))
(((())()())((()(())())()()(())),)
(()()(()())(()())()(()(()))((),))
,
((((()()()())))(,))
(((()())())()(((())())()()())()()()(,))
(()(((()())((,)))))
,
(()()(())()()((())())(,))
(()(())()(,))
(()(()(),))
((((()()(((()(())())())))))()()(,))
,
((()(,)))
(()()(()())()(()(()))()(,))
(()((),))
(()(((())()()))(())()()(),)
(()()()((),))
,
(((())())(),)
((()())(())()(,))
((())()(()(((),))))
(((,)))
((()())()()(()()((),)))
(((()))()()(()()()()())()(,))
,
(((()))(,))
,
((()((()))(()))(()()()(())()(,)))
((()())()(())(()()())()(())(,))
(()()(()()((,))))
((())()((()()())(())()(),))
((()())(())(()())(())(,))
(((())(())()(()())()()(()()()(,))))
((()(()))(()(())()(()()))()((()),))
((())()((()))((()(()))(,)))
(()(()())(,))
((())(())()()(())(()()(),))
(()(()(((())())())(),))
((())()(()()())(),)
(()(())(()((()()))()((),)))
(()()(())(()()()()())()(),)
,
((()()()()()())(,))
(()(()()())()()((())()()(())(()))(,))
(()(()(())(())()((,))))
(()()(()())()(),)
(()()(((())))(())()()(),)
(()()()()()()()(()()()),)
(()(((()))()()())(()(),))
(()()(()()())(())(,))
((()),)
(()()(,))
((()())()()((())()(()))((,)))
(()()(()()(),))
(()()(())(,))
((()()()()()()(),))
((())()(()()(()))()()(()())()(,))
(((()()((())()()())))(),)
,
(()(()())(),)
((()())()(())((),))
(()(())(())(),)
(()(())(()()())(()()())(())(,))
(()()((())()()()()()()(),))
(((()(())())(())()()(()))(),)
(()()()()()()(())(())(()(,)))
((((())()()))()()(()((())(),)))
(()()((,)))
(()(((()()))()()())(()(())(,)))
((()()())()()()()()()(),)
((()())()(()(())()(),))
(((()))(()())(()()((())()))(()),)
(()()()(()(((())))(())(),))
,
((()()()())((()()))((()))()(())(,))
((()()(()())()(),))
((()(),))
,
(()()()()()()(())(()),)
((())()((()(),)))
(()()()()(())()()(())()(,))
((())()((())((),)))
,
(()(())(()(())(,)))
(((()))()(,))
((())(()(),))
(((()))()((())()()(()()()((),))))
(()(())(())()()()(),)
((()()(()))(())()((())()(())(,)))
(()(()(()()()())())(),)
((()())(()(()())())(())()()()((),))
(()()()()()(())(()()()())(()(),))
((()()())(())()((()))()()(,))
(((()()))(()())((()())()),)
(()(()()()(())())()((,)))
((()()())(())()()(),)
((())(()())()((((()))()))()(),)
(()()()((),))
((()()())()()(),)
((())()()(())()()()()(,))
((()(()())())(())()()(,))
((())(())((()))()()()(()),)
((()(())())()((),))
(()(((()))())((()))()((()())),)
(()(())()((,)))
(()((()))()()()()(()(),))
(()()()()()()(,))
(()()(,))
(((())()(()))()()(()((,))))
(()(()())((((()()),))))
,
((())()()(()()(,)))
(((()())((()))(())())()(),)
(()(),)
(()(()()())()()()()(,))
((()())(())()()()((,)))
(()(())()(()()()()())(((,))))
((()()()(()()()()())()((,))))
(()((())(())()(())()(),))
(()()()()()()(()(),))
(()()()()()()()()()(,))
(((),))
(,)
(()((())())(()((,))))
((()(()()(),)))
((()())(()()()),)
((()()()()(()())),)
((()())(()(),))
((())(()()()()()())((()))(,))
((,))
(()()()()((),))
((()())((())()()()())(()((),)))
(((())())((,)))
(()(()())()((()()())(()))()(),)
,
(()(()(())()()),)
(((()))()(,))
(()((()()()()()())()()),)
(((())()())(,))
((((())()()((()(()))(()(())))()),))
(()(()()(()))(()),)
(((()),))
(()()(())(,))
(()()(()())()()()()()(()),)
((()())()(()()()(()(()())()),))
(()()(()(,)))
((((()())(()())))()()((,)))
(()((()))()(((()()()))(((())()),)))
((()()()()()()()()())()()(())(),)
((()()(())(())((()())))()(((()()),)))
((()(())())(())(()(())),)
(()()(,))
((()()()()(()((())((),)))))
(()(())(((,))))
(()()(((()))()(())())(()())()(()(,)))
(((()()())((()()())))(,))
((())(()())()()((())()()()())(())(,))
(()()()(())()(((()())),))
((())(())(())(,))
((()(()()()()()))()()()()(()())(,))
(()((,)))
(((()))(())(())(()()()()()())(),)
(()(())()(()())(()())(),)
(()()(())((()(()())()(),)))
(()()(),)
(()(()(())((()))(()()()((()),))))
(()(())(()()()())(),)
(()(()()(()())(()(())())()())()()(),)
,
(()()(())()(,))
(((()(()))(()))(())()(,))
((())()()()(()()(()))(()()()(()))((,)))
(((()()())()()()()()())(,))
((()())(())()(),)
((((),)))
(()(()()(()))(()()()()())()()(()(()),))
(((())(()())()()()()())()(()()()())(,))
(()(()()())(())(())(()())(())()(,))
,
(()(())(()(((())))(,)))
(()(()()(()()))(()),)
(()()(())(((()))())()(())()(())(,))
(()()(((())()()()(,))))
(()(())()(())()(())((()()())()())(,))
(()()((())()())()(())(,))
((,))
(()()((((),))))
(()()(()((((()))((())),))))
((())(())()(),)
(()()(()(()()),))
(()()()(()((())(())()()()()(()))(,)))
(()()(()())()()(()(,)))
((()(()))()()()(()()()())(,))
(((())()()(()()()))(((,))))
(()(((())())())()()()()((),))
((())(()(())())()()(,))
(()()(()()()((()(,)))))
(()()(,))
(()(()()()()((())()())()()()()(),))
(()((()))(())((()(())()())(())())(),)
(()(())()()((())())((()()))(()())(,))
((()(((()()()),))))
((),)
(()()()(())(())((,)))
((())()(())()((()()(,))))
((()())()(())()(,))
(()()()(())()()((()())()()()(,)))
((()(())()()(())((())),))
((())((()(())()())(())())(()()(())),)
(()(()()()()()()()())(()())(),)
(((())(())()()()(()((),))))
,
((())()(()(())())(()()())(),)
((()(()(())),))
((,))
(()()(((())())()()()()()(),))
,
((((()))((())()()(())))()((,)))
((()()()()()((()())))()(,))
(()(())()()()(()(()))(),)
((,))
((((,))))
((())()(())(())(((),)))
(()()()((())())(()((())))()()((,)))
((())((,)))
((())((()())(()())()()(())),)
(()(((()()(()))()())()()()(())(,)))
((()()())()(()(),))
,
(()()(()()()()(()(()()),)))
(()()((()()()))()()()()((),))
((()()()())()()()()(())(),)
(()(((()))()())()()()()(),)
((())()()()((())(),))
(()(,))
(()()(()(((()))())())()()(()())((,)))
(()(())()()()(()()((),)))
(((())()(())()()(,)))
(()()()(())()()(()())()()()()()(()(,)))
(()()()(),)
(((())),)
(()()()()(()()()()())(((,))))
,
(()()(())(,))
(((,)))
,
(()(((()),)))
(()(,))
((()()()()(()))(),)
(()(())(,))
(()(())(())()()()()(()(,)))
(()(()()())(())(()()(()(),)))
((())()(()())(),)
((())(()(())(),))
(()()((),))
((()(((())))()()()()),)
((())(())((),))
(()()()()(()()()())()(())((),))
(()()(()()())(()((()()(,)))))
(()()()()(()()())()()()()()(),)
(((),))
(()(())()(()()(()((,)))))
(()()((()(())()))(,))
(()(()())((((()())))()((()(,)))))
(()(()()(()(())()()())())()(())()()(),)
,
(((()()())())()(()(())((),)))
(()()(())(()()())((())())(,))
((()()())(())(((()),)))
((()),)
(()(()()()()(())(()()((()()(())),))))
((())(()((),)))
(()()()(()()()(())(()(()()),)))
(()(()(()))(())()()(()())()(()(,)))
(((()()((()))(()))()()()())(,))
(()()(())(,))
(((()())((()()))()(,)))
(()()()()()()((())(()()))()((,)))
(()(()(()()()(()())()))()((())()(,)))
(()(),)
((((()))())(())(,))
(()()()(())((()()),))
((()()())()(())()()(),)
,
(()(()())()(()()()()())(()()(())),)
(()(())()((()))()()(()()())(()(,)))
(()()(())()()(()())()()()()(())(())(),)
((()()((()))(,)))
((())((()))(())()(())()(,))
((()())()()()()(()(()())()())((),))
(()()()(()()()())()()(),)
(()()(()()()()(,)))
((())()((())),)
,
((()(()())()(()()())(()(,))))
(()()(()()())()()((())((())))(,))
(()()((,)))
((()()()())()(())()()()()(())()(),)
(()()(),)
(()(,))
((()()())()()()()()(()())(,))
(()()()()()()()()(()(()))(),)
(((()()))()()()(()(())(),))
,
(((,)))
(()()()(())()(())()()(,))
(((())()(())()()),)
(()(()(())(,)))
((()(()())),)
(((()(()()(),))))
((()()()())()(()()()(,)))
(()()()((())()())((())((,))))
(((()())()()())(),)
(()()()(())((())(()()())(,)))
(()()()()()()()(((()()))(()())),)
(((()()()()(())((())()))()(()))()(),)
,
,
(()()()()(())()(),)
(()(()()())()(())((())((()),)))
(()(,))
(()()(()(()()),))
((()())()(((()))(())(()))()()((),))
((()()()(()()))(()()(,)))
(()(()()()()()(()())),)
(((()()()())()())(,))
(()()()((()((())()())()))()((),))
(()()()((()(()()))(()))(())(),)
(()()(())(())(()())()(())()(),)
((()())(())()(()()(()))()(),)
(()()()()()()()()(()())()(,))
(()((()()))(((),)))
(()()()()()()()()()(,))
(()()()(()())(())(())()()(()())(),)
((()()()()())()()()(,))
(()(,))
(()()(())(((()(())))()()()()),)
(((((),))))
((()()(((()))()((())())(,))))
((()()(()()))(()())()(,))
((())()(()()()()(,)))
(()((())(())())()(((()))(,)))
((()((())))()((()))()(,))
(()()(()(()),))
(((()))()(()(),))
(()()(()),)
(()()()(())(()((,))))
(()((())(()()())(()))()()(),)
(()()()()(())(()())(,))
((((())()((()()))()(()()())()()))(),)
((())((()()))((()(())()()()(,))))
(()(())((),))
(()()(((())())()((),)))
(()()()((())(,)))
(()()()(()(()())())()(())()((,)))
(((,)))
(()(((()))(())()()(),))
((())()(()()(()())((,))))
((()((()))()((())),))
((())(())(()()())(()(()))(,))
((()(()()()()())((()(()))()())(()),))
(()()()()()((((())()))()()())((),))
(()()()(),)
(()()(()()()())()()(,))
(()()()(())((),))
(()((())())()()(())((()))()(,))
(()()(())()()()(())()()()(())(())((),))
(()()()()()()(())(),)
(()(()(()))()()()()((())(()),))
(()()(()(())(())()(()()()()((,)))))
((())(())(()())(())(,))
((()(()))(()())((),))
(()(())()()()()()()(,))
(((()()()()(,))))
(((()()()()(,))))
(((()()())(,)))
((),)
(()(()(()()()())()())(()),)
(()()()()()()(())((,)))
,
(()()()((()))(()()()()())(,))
((())()()()(()())(()((()))()(),))
((()())()()()()()(())(()())()()(()()),)
(()(())((())()()(())((,))))
((())()()()(()(()(),)))
(()()((()()(()))()())(,))
(((),))
(()()()()((()())(()))(())(((,))))
(((),))
((())((())(())()()())()()(()()),)
(()()(,))
((()())(())(())((()))((()(),)))
((()()()())(()()())(,))
(()(())(()(()))()()((,)))
(()(),)
(()((((())()())))()(()())((())),)
(((()())((())())()(,)))
,
((())()(()(),))
((())()()()()()((()),))
(()()()()()((),))
((()()(()(()(()()))(()))(()()()(,))))
(()()()(())(())()()()()(()())()()()(),)
((()()((()))())()(()),)
(()(,))
(()()()()(()())()()()()()(),)
(()(()(())(()))((,)))
(,)
((()())()()((()))()((((()))((()))))(),)
(()((()(())()(,))))
((())()((())()(())()(()))()(())()(),)
(()()()(((()()()()))(()))((,)))
(((())()()()(()))((),))
(()(())((()))()(()((()()))(,)))
(()()()()()(()()()(,)))
(()()(()((((())))(()())))((()(),)))
(()()(()(()())(()()(((,))))))
(()()(())()()()(())(()),)
(()()()()((()())(())())(())()((),))
((()(())()()()()()((())(,))))
,
((()())(((())))()((()())()(()),))
(()(())(),)
(()(())()((()()))()(,))
(()((())()(()))()(()()())((())),)
,
(()(((())(())()()(())))()()(,))
,
((())()((,)))
(()(()(()()(())),))
(()()(())()(()()()(),))
(()()()(())()(())((,)))
((,))
(()(),)
((())()()(()(())()())(())((()))()()(),)
(((()))(())((()()()))(),)
((((()()()))())()()()()(()(,)))
(()(()())(,))
((()()()()(()()(()())())((,))))
(()(())(()(())(()))(())(())()(())()(,))
(()(()())(())(,))
(()()()()()((())(())()((,))))
(((()))()()()()(())((()))()((),))
((())(()()()()()()()()(,)))
(()(())()(()())(()()(,)))
,
(()()()(),)
((()()(()())((())(,))))
((())(()())(()(()))(,))
(()((())()),)
((())(,))
(()((())())()((()(,))))
(()()(()())()()()()(()()())((()))(,))
(()()()()(()()()()),)
(()()((,)))
(()(())()()(()()()((,))))
(()()()()(()()()())()((()()))()(,))
(()()()()(()()),)
(()((())(()(()))()()(()()),))
(()()()((()(),)))
(()()()()((())()(()()())((),)))
(()()(((()))())(())()(((()(,)))))
((())((())((()((,))))))
((()((())()(()(()))(()()())(()),)))
,
((()()()()(,)))
(((()()()()))(())()()()(())()((()),))
(()(()()())(())(()())(()(,)))
,
((())()(()()()(()())()()(((),))))
(((()())(),))
(()()(())(()(,)))
(()()(((())(())(())))(),)
(((()))()(()()(())((()())()()())(),))
((()()(,)))
((())()()(()(())(((()()())))()(,)))
(()(())()()()((())())()()(,))
(()()()((()()((())(,)))))
(()()()(((,))))
(()(((())))(()()())((()))()()(,))
(()()(()()()(((())()),)))
((()()())()()()(((),)))
(()()()(()()((()),)))
((())()(((()),)))
((()()()()()())()()()((())()()(())()),)
(()((()))(())(()())()(())(()()())(),)
(()()((()(()())(()))(()()(,))))
((())()((()())()(((()))))(,))
(()()(())()()(()())()()()()((),))
((),)
(()(),)
,
((()()())()()()()()((()()))(),)
((()())()()()((((())())()),))
(()()((()())(())()()(,)))
((()()(()))()()()()(()())()()()(,))
(((())())(()(,)))
(()()()()()()(())()()()(((),)))
((()()()()(()())()(())())()()(),)
(()((()())()()((())()))(,))
((())()()()()((()(()))()),)
(()()()()(((),)))
((()(())(())()(),))
((()()()(())())()()(()()())(()(),))
(()()()(()((()),)))
(()()()(()(()()()())()()(),))
(((())((,))))
((())()()((()()()()())(,)))
((()())()(((,))))
(((()()()()())((())()()(),)))
((()((((()))))(())()())()(,))
(()()(()(,)))
(()()()()()(())((),))
((())()(()((()))((())(,))))
(((())()),)
((())(())()()(()(,)))
((())()()(())((),))
(()()()()()((()()(())))()(()(,)))
((((())())()(())(,)))
(()()()(()())(),)
((,))
((()()(((())()),)))
((())()()()()((()))()((,)))
((())()(())()()()(()(()()()())),)
(((()(())(())(()()))(()()))((,)))
((()(,)))
((())((,)))
(()()()()()()()(,))
((())()((()()())(())),)
(((((())()())(())))()(,))
((()()()())()(()(())(())()()()())(),)
((()(())()()()()(()))(())()((),))
((()())(()()()())((())),)
(()()()(((),)))
((),)
((((),)))
(((()()()(()))(())(()))((()))(,))
((())()(()),)
((())((()()()))(()()(()),))
(((()())(()),))
(()((())()()(())(()()(()))(,)))
((())((()())(()))(),)
((())(())()((())()())(()),)
(((()()(())()(())()(())),))
((())(()()()()())(((,))))
((((()())(()))()()())(()()),)
(()()(())(()(()(())()()(,))))
(()()()((())())()()(,))
((()())()(())()()()(()()(),))
((()(())()())()(())((()))()()((()),))
((())(())(())()(((())(()))()(,)))
(()()()((()))()()()()(,))
(()(((()))()((())))()(,))
(()()()(()())()(())()(()(()),))
(()(()()(())(()))(())(())()()()(()(,)))
,
(()()(())(())()()()((,)))
((()()()(()())(()))()()(()(,)))
(()(,))
(()(())(((),)))
((()((()(())(())()()))(()(()))),)
((()((())()()()(()(())))(()))()()(),)
(()()(())(())()(()),)
((()(),))
((,))
(()()()()()(()),)
((((()(())()()))(())()()()()())()(),)
((())(()()())((,)))
(()()()((()()),))
(()(()())()()()(()(()())(,)))
(((())()()()(()(())(())))()(()(),))
((((())(),)))
((()(()()))()()(()())()(,))
(()(,))
(()(())()()(()()((())))()((,)))
(((()),))
((()()()())((()())(()))(()(())(),))
((()()(((()))()())(())()()((,))))
(()()(()())()()()(())()(())()(())(),)
(()()()(()()()())(()(()())),)
((()())(((),)))
((()()())()()()(()()(())),)
(()(())(())()()()()(()()(())())(())(),)
(()(()(()()())()(())())(((())),))
(()()()(()())(()())(()()),)
((())(())()()(())()(),)
((()()()(()))()()()(()()(())),)
((()(())(()())())()(())()()()()((,)))
(((())()(()())()()()(,)))
(((),))
(((()()()()()())(),))
(((())()())()((())(())((),)))
((((()()()))(()))(())(())()(,))
(()(()(())())((,)))
((()())()()()(()(,)))
((()()()(,)))
(()()()()(,))
(()((,)))
(()((()))(())()(())()(()),)
(()()()()((()(()()()))(()()(),)))
(()()()(())((()(),)))
((()(((,)))))
(()(()())()()(())(()()(),))
(()(()()()(()()))()()(),)
(((())((,))))
((())()()(())(())(()())(,))
(((())(()())),)
(((()))(())()()()(())()()()(())(),)
(()()(((()))())()()(())()(()),)
((()(((()))()()()))(()((())()))(),)
((())()((()())(()),))
(()()((()(((()))(()())))())((,)))
(()()(())()(,))
(()()(()())(()())()((,)))
((()(())()(())(),))
((((),)))
(((())(()))(),)
(()()(())((()))()((()),))
((()())()()((()()()))()(()(,)))
(()((())()(())()()(())())()()((())),)
((())()()(())()()((()(()()))),)
(()(((())))((())()((,))))
(()(()()(())())((,)))
(((()))((()))((()),))
((())()()()()(()()())(,))
((),)
(()()(())()((),))
,
((())((((())())())()(()()(()))()()),)
(()((())())(),)
(((),))
((),)
((())((()()((())),)))
((())(()()((()()()(())(()))(()))()(),))
,
(()((()()())())(()((),)))
((((())))((()()))((),))
(()(()()()(())())()((())())()()()(,))
((()()())()()()()()()(())(,))
((()()(((())()()()()())()))((,)))
,
(()((()()()())()()(())()(())(),))
(()(()())()()((,)))
(((())((()()()(()()))(())())()((),)))
(()(()()(())()((()))(())(()),))
(()(),)
((()((()))()(())()((),)))
(()((()())()()(()()(),)))
(()(((())(())((()(),)))))
(()(()()()(()),))
((((()()(()()))()(,))))
((()()()()()()(()())(())(()())),)
(()()(())(())()(())()((,)))
(()(()()())(()()())()(((),)))
((()((())))()()()()(),)
((()()()(())()())()(()()(,)))
((()())(),)
(()((()(()()())(())(,))))
(()()(()())(()(((()))())(,)))
(((())(,)))
(()()(())(((()()((())(())()))),))
((())(())(((())()()))(()),)
(()()(())(()()()(())())(())()(),)
(()()()(()(((,)))))
((())((,)))
(((()))()(((()))())(,))
(()((()))(,))
(()()((())(,)))
(((())()()()()()()((,))))
(()(()((),)))
(()(()((()()()(())()))(,)))
((()()(()(())()))(())(,))
,
((()()(())((()()())(())(),)))
(()((()))((())()(())(,)))
(()(())(((()()),)))
(((((()))())((),)))
(()(()())(()()()(()())(())(,)))
(()(())((()))()(()())(()(,)))
,
((()())()()()(()()()()),)
(()()(,))
((()()(())()())()((),))
(()()(())()(()()(,)))
(()()((()()()()(,))))
(((()))(())((()),))
(((((()()())()))(),))
(()(()())(,))
,
((())(()())(()()())()(())()()((),))
(()()(()()()(()))()()(((()))())(,))
(((())(())(),))
(()(())(,))
((()(())(()()((()())()),)))
(()()()((())()()((()())))(()),)
(()()(),)
(()(()(())()()(())(()(,))))
(()()()()()()()()()(()()(,)))
(()()((()))()(())(,))
((())(())()()()((((),))))
((()((()()()))(()(,))))
(()((()()()(()()))())(),)
((()())()()((()())()()())()(())((,)))
((())()(())()(((())((),))))
(()(())()()((()())((,))))
(()()()((())()()())(((),)))
(()()(())(,))
(()()()()((())()(()))(),)
((()()(())()(())())()()()(,))
((())()((()(()))())()(,))
(()()(())()((),))
(()()(()()(()()()(())))((((),))))
((())()(())(()()(())(()))(()((,))))
((()(())()()()()(()())),)
((())()()((()())(())())(,))
((()()()())()((())((),)))
((())(()()()())(()()(()))(((,))))
((()()()()(()))()(()()(())(),))
,
,
(((())()())()(((()()(((),))))))
((()()(()(())))()()()(()()(()),))
(()((()()(()()())()()()()),))
(((())()((()(,)))))
(()((),))
(()()()(((,))))
,
((()(()())((,))))
(()((()())(()()()())()())(((),)))
((())(())((())),)
(()()((()()())()()()()(,)))
,
(()(()(())()(())()(())())()()((()))(,))
((()),)
(()(()())(()())(()()()())(,))
(((,)))
((()()((())(),)))
((())()(()()()()())(,))
(()((()()(())))((())()()),)
(()(()())()(()(,)))
((())()()()(())(()())((()(,))))
((())(())()()()()(,))
((()())()()()(()()())(),)
,
(()()(()()())()()()((()),))
((()()())()()((())(),))
(()(((()())()(())))(),)
((()()(()())()())((),))
(()(()()())(()((())))(),)
,
((()(((),))))
(((()())())()()()()(((())))()(,))
(()((()))(()())(,))
((((()))())(()())()(())((),))
(()(()())()(()()())()()(),)
(()((()))(()()()())((,)))
(()(()()(())((()))(())())()(),)
((()(())()())(()(()()(())()),))
(()((())()()),)
(()(,))
(()()(()())()(,))
((()()()(())()()()()())((),))
((()())(()()()()())((()(()),)))
(()(()()(()))(,))
((()(())((()())(()())()(()))(())),)
(()()(())(()())()(()),)
((()())(()()())()()(()()(()(),)))
(()(())((()()))(())(()(())())((,)))
(()()(()()(())((,))))
(()(()(()(())(()(())))())(,))
(()()(())()()((,)))
((()(()(())))(()()()(),))
(()()()(((((())())))),)
(((),))
(()()()(,))
((()((())()()))(,))
((()())()(())()()()()(),)
((()()(,)))
((())(()(()()())()()())((,)))
(()(())((())()()((,))))
((()()(())()(()),))
,
(()()()()(()(),))
(()()(()()()())()()()()()()()(()())(,))
((())(()())(()()),)
((()()()(()())()())(,))
(((()))()((()())())(()(()()())()),)
(()()(())((()))(()()(()))()(()(()),))
(()()()((()())()()(),))
((())()((()))(())()((,)))
(((()((()))((())))(()))()(),)
(()()(()(())(()(())),))
(((((())()(()))()()((()))())),)
(()()(())(()(()))()(),)
,
(()(())(,))
(((((())))(()()))()()((()()()))(((,))))
(()(()()())(()(()()())(())(())(),))
((())()()(())(())()(,))
(((,)))
,
((),)
(()(()()()()()(()))(((,))))
((()()()((())()(())()))()(),)
(()(()())(())()((),))
((()(())())()()()()()(()())((,)))
(((,)))
((())((()()())())()()(())(),)
,
(()(())((()))(,))
((())(()()()()())((()())()),)
(,)
(()(())((,)))
(()((()(,))))
((()())()()()()(()())()(())(()(),))
((),)
((())((,)))
((((()()()))())()(,))
((()()())(())(())(,))
((())()()()(()()())(),)
(()()()()()(,))
((()()(()))(())()()()((())(())(),))
(()(()(((()))))((()))()(()()),)
((())()((()()),))
((()())()((((()))),))
((())()()(())()()()()(,))
(()()()()()()()()(()()),)
(()((((())())(())))()()()(())(),)
((())((),))
((())(())()()()()(,))
((())((()))(())()(()(()),))
(()()()(((()())())(,)))
(()()(())((())((()(,)))))
(,)
((((()((()))),)))
(()(())()()(())(()()((()))((),)))
(()(()())((()())()()(()))(),)
((()()(((())()),)))
((()(())())()(()()()(,)))
(,)
(()(())(()((()),)))
(((()()()))()(,))
(()()()()(())(())((())(,)))
((()()(()())()(()())(())()()(),))
((())(())((())()()())((()))()(,))
((())((()))()(()()(())(,)))
(()()((())())(()(()(),)))
(()(()())((()))()()(),)
((())(()()())()(())()(,))
((,))
,
((()((())()()()()(()((()))()())()),))
(()((()())(,)))
((()()(()))(())()(())(()()())((),))
((()())(()()()((,))))
(()()(()()())()(),)
((())()(())()(()()()())(())(()),)
(()()(()()(())()(())()(,)))
(()(()((,))))
((())()(),)
(()((())()(,)))
,
((())(())(()())(())()()(,))
(((()))(),)
(((())()(())()()((())(())((),))))
((()()(()())()()(),))
(,)
(((())())()((())()()(()),))
((())(),)
((())(()(())()())()()(())((,)))
(((()(,))))
(()()()()()(())()(),)
(((()())(),))
((()()()((()()()(()))()()()),))
(()(())()()((())())(),)
(()((()))()(())(,))
(()(()(())(,)))
(((()))()()(())()()(())(),)
(((),))
(()()()()(()(()),))
(()((()),))
(()(())()()(()(()(()))(())()),)
(()()(()())(,))
((()(()()())()()()(,)))
((()())()()(,))
((()()()()((())(())()()))()(),)
(()(((((())))))(())(()(()))()(,))
,
(()()(())()()(())(((()))()(())(),))
((()((())()()()(())()))((()))((,)))
,
((()())(()())(()())((),))
((()())()()(()())(()()((())(),)))
((()()()()()(,)))
((()()(()()(()()))())()(()),)
(()()()()(()()(()))(,))
(()(())()(()()()()()()((,))))
,
(()(()()(()))()()(((())))(),)
((()()()()())()((,)))
(()()(())(())()(),)
((()((()()))())((()()(),)))
,
(()(()(()()()(()))(()),))
(()()()()(())(()()()((()))())()(),)
((()()()())(())(,))
((())(),)
((()(())(()()(())(()(),))))
(((()))()(())()(())(()((,))))
(()()(((())))()(((()()(())),)))
,
(((())()(())()()(()(())())()()(,)))
(()()(()()()(())()),)
(((()()()))()(()())((()))()(((,))))
((()())()()()(),)
((()())()(()(()())(,)))
(((()))(,))
(()()()()((())())()((),))
(()(())()()()()(()())()(,))
(()((,)))
(()(()()()()(()))(())()()()()()()(,))
,
(()()()()(())(,))
(()()(()(()()()())()(,)))
(()(())(()(()(()()())()))(,))
(()()((()(())(()(()())()()),)))
((())()(()(()()))()(())(()()())(,))
((()(())()((())()((()))()),))
((())()((())())()()(()())(),)
(((()))((()))(())(()(())(()(),)))
(()()(())(),)
((())()()(())(()(()())(,)))
(()(())(()()()()(())(),))
(((())()())()(()(()))()()()(()((())),))
(()()(()()())(()),)
(((()(,))))
(()()()((())()())()()(())(),)
(()()()()()(()())()((()()))()()(,))
((()((())(())(()())()()())(()),))
(()()()((()),))
(()(()()())()()(())()()((),))
(()()(())((()(())()((()))))(()(),))
(()(()()()(()(()()))()()(),))
(()()(()),)
(()()()()()(((()()))()(()()())())()(,))
(()()()((),))
,
((()((())()())()(()),))
,
(()()(()()()())()()()(()(()))()(((,))))
((())(())()()()()()()()(,))
(()()()()(()()(),))
(()(())()()()(,))
(()(())((()()))()()(())()()((,)))
(()()(()(()))()(()())()()()(())(),)
(,)
((()(()))(()()()(),))
((())(((())),))
((()(,)))
(()()(()())((()()()(()()))()(,)))
(()((,)))
((()()()((),)))
(()()(()()())((()()()),))
((())(()())(())(()((),)))
((()()()()()()(()(,))))
((()(()))()()()(())()()(,))
,
((,))
(()(())()(())(()()()(()))(),)
(()((()())()()(()()(,))))
(()(()((()())))(()()),)
(()(((()(()))())(((()(())())))),)
(()()()(())((()(())))()()()()()((),))
(((())(())(())(())(,)))
(()((()()()(())())()()(()()()))(,))
(()((()()),))
(()()()(),)
((((()()())),))
(,)
(()()((())(()()()),))
((())()()(,))
((())(())()(((())))()(()),)
((()()(),))
(()((())()()((),)))
,
((()()(()(()),)))
(()()()()()()()()((),))
((())()(())(),)
((()(())(())()())()()(())()(())(),)
(()()()()((()()()()(()()(,)))))
((())()()(),)
((())((())(())()()(()))(()((),)))
((())(()())(()()()),)
,
(()(()(()()))()(()(,)))
(((())(((((()))))()(,))))
((())((())()(()())()())(()(),))
((),)
(()((,)))
(()(((((())))))()(())()((),))
((()(())()())(,))
(()(()()(()()(()))()()(())(),))
((())()(())()(()())()(),)
((()(()))()()((()))(()()),)
((()(()))()()()((,)))
((((()))()()()(,)))
(()()()()()()(()())(())()(()(,)))
((())(())((())())((,)))
(()(()())()()(())(((())(()))),)
,
(()((()(())())()()()(()))(),)
((()(()(()())((()))()())()((,))))
(()(()(()()()()))()(()()(()))(,))
(((())(())()()((())()(((),)))))
((()(()(())()))()(()()()()()),)
(()()()(,))
(()((()),))
(()()(())()()((()))()(())()()()()(,))
(((())(())()()()(,)))
(()(())(),)
(()(())()()(()(())(,)))
